Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
175	0.005000	119.804626	0.794505	1.009359	85.489998	71.580002	92.459999	
176	0.005000	120.491015	0.793486	1.038595	85.537994	70.580002	92.290001	
177	0.005000	121.170862	0.800938	1.008830	85.445999	71.059998	93.129997	
178	0.005000	121.854644	0.794768	1.024847	85.607994	71.549995	92.309998	
179	0.005000	122.528318	0.795313	1.024189	85.514000	70.930000	92.589996	
180	0.005000	123.238279	0.797430	1.026196	85.269997	70.809998	92.470001	
181	0.000500	123.912456	0.677573	0.885279	90.220001	74.629997	94.040001	
182	0.000500	124.607406	0.634449	0.887560	91.881996	74.720001	94.110001	
183	0.000500	125.297234	0.617383	0.887721	92.638000	74.639999	94.040001	
184	0.000500	125.986866	0.606183	0.886520	93.195999	74.889999	93.860001	
185	0.000500	126.692753	0.600230	0.890201	93.453995	74.830002	93.759995	
186	0.000500	127.370823	0.592482	0.893907	93.624001	74.629997	93.959999	
187	0.000500	128.063400	0.583503	0.891245	93.953995	74.809998	93.930000	
188	0.000500	128.759501	0.578245	0.897295	94.201996	75.040001	93.909996	
189	0.000500	129.447299	0.576932	0.900048	94.161995	74.479996	93.849998	
190	0.000500	130.137625	0.568716	0.903712	94.561996	74.559998	93.759995	
191	0.000500	130.816085	0.564041	0.900186	94.717995	74.580002	93.860001	
192	0.000500	131.486048	0.560954	0.904298	94.821999	74.689995	93.869995	
193	0.000500	132.171595	0.557142	0.906687	94.981995	74.750000	93.820000	
194	0.000500	132.857332	0.553488	0.903848	95.042000	74.500000	93.849998	
195	0.000500	133.544056	0.553202	0.903615	94.977997	74.839996	93.849998	
196	0.000500	134.235922	0.547015	0.905098	95.229996	74.959999	93.869995	
197	0.000500	134.941977	0.546669	0.907256	95.197998	74.879997	93.829994	
198	0.000500	135.630536	0.542586	0.910436	95.304001	74.889999	93.720001	
199	0.000500	136.317734	0.536886	0.909361	95.663994	75.000000	93.639999	
200	0.000500	136.997020	0.535742	0.910045	95.711998	75.080002	93.680000	
201	0.000500	137.672097	0.533686	0.913077	95.675995	74.909996	93.739998	
202	0.000500	138.343878	0.532232	0.908777	95.605995	74.790001	93.729996	
203	0.000500	139.023988	0.526705	0.919453	95.829994	74.459999	93.610001	
204	0.000500	139.689906	0.525758	0.916068	95.771996	74.860001	93.579994	
205	0.000500	140.382800	0.522458	0.914395	96.054001	74.610001	93.709999	
206	0.000500	141.061464	0.519608	0.924194	96.138000	74.619995	93.639999	
207	0.000500	141.742766	0.518417	0.918971	96.175995	74.519997	93.799995	
208	0.000500	142.431746	0.516572	0.918091	96.084000	74.900002	93.680000	
209	0.000500	143.092193	0.514897	0.924088	96.189995	74.699997	93.699997	
210	0.000500	143.772269	0.512939	0.919865	96.267998	74.470001	93.720001	
211	0.000050	144.470268	0.507808	0.922357	96.431999	74.589996	93.720001	
212	0.000050	145.154833	0.502382	0.919555	96.778000	74.769997	93.649994	
213	0.000050	145.838752	0.500644	0.916485	96.818001	74.680000	93.649994	
214	0.000050	146.532345	0.501580	0.919361	96.755997	74.540001	93.729996	
215	0.000050	147.209047	0.500498	0.922712	96.793999	74.540001	93.489998	
216	0.000050	147.895892	0.499007	0.918100	96.779999	74.720001	93.739998	
217	0.000050	148.573091	0.496486	0.917724	96.829994	74.699997	93.559998	
218	0.000050	149.251975	0.495377	0.921993	96.951996	74.669998	93.579994	
219	0.000050	149.935613	0.496406	0.920525	96.811996	74.689995	93.790001	
220	0.000050	150.623420	0.494650	0.918884	96.862000	74.720001	93.540001	
221	0.000050	151.293393	0.493404	0.912844	96.903999	74.979996	93.669998	
222	0.000050	151.955403	0.494556	0.919010	96.849998	74.830002	93.619995	
